"cntry","dscrrce","dscrntn","dscrrlg","dscrlng","dscretn","dscrage","dscrgnd","dscrsex","dscrdsb","dscroth","ppltrst","pplfair","pplhlp","trstprl","trstlgl","trstplc","trstplt","trstprt","psppsgva","actrolga","psppipla","cptppola","polintr"
"AT",0,0,0,0,0,0,0,0,0,0,4,3,5,3,7,9,2,2,1,1,1,8,3
"AT",0,0,0,0,0,0,0,0,0,0,8,8,8,4,7,8,0,1,2,2,2,1,3
"AT",0,0,0,0,0,0,0,0,0,0,4,5,6,5,5,6,4,4,2,1,2,2,3
"AT",0,0,0,0,0,0,0,0,0,0,7,8,8,5,7,8,5,5,2,2,2,2,3
"AT",0,0,0,0,0,0,0,0,0,0,8,8,6,8,8,8,7,7,4,4,4,4,1
"AT",0,0,0,0,0,0,0,0,0,0,7,7,5,8,9,9,6,6,2,3,3,3,1
"AT",0,0,0,0,0,0,0,0,0,0,6,6,6,7,8,8,5,5,2,2,3,2,3
"AT",0,0,0,0,0,0,0,0,1,0,3,5,4,2,5,7,0,0,2,2,2,2,3
"AT",0,0,1,0,0,0,0,0,0,0,9,8,8,7,8,9,2,7,2,1,1,2,4
"AT",0,0,0,0,0,0,0,0,0,0,8,3,7,5,9,9,4,3,4,4,3,5,1
"AT",0,0,0,0,0,0,0,0,0,0,10,8,7,9,9,9,9,9,2,1,1,4,2
"AT",0,0,0,0,0,0,0,0,0,0,9,10,9,9,8,10,9,8,2,2,1,2,3
"AT",0,0,0,0,0,0,0,0,0,0,8,8,7,7,7,8,5,88,3,2,3,3,3
"AT",0,0,0,1,0,0,0,0,0,0,5,4,3,3,3,3,2,1,2,1,2,2,2
"AT",0,0,0,0,0,0,0,0,0,0,1,3,4,5,5,8,2,2,2,1,1,1,4
"AT",0,0,0,0,0,0,0,0,0,0,6,5,5,6,5,7,5,5,2,2,2,2,2
"AT",0,0,0,0,0,0,0,0,0,0,3,7,5,2,5,4,2,2,3,2,2,2,2
"AT",0,0,0,0,0,0,0,0,0,0,7,7,7,0,5,5,0,0,1,1,1,1,3
"AT",0,0,0,0,0,0,0,0,0,0,2,3,1,2,3,2,1,1,2,3,2,2,2
"AT",0,0,0,0,0,0,0,0,0,0,3,4,7,4,4,6,2,2,2,2,2,3,2
"AT",0,0,0,0,0,0,0,0,0,0,5,6,2,5,9,9,0,0,1,8,1,8,4
"AT",0,0,0,0,0,0,0,0,0,0,5,6,4,4,6,6,3,3,2,3,3,3,3
"AT",0,0,0,0,0,0,0,0,0,0,7,7,7,4,4,6,4,4,2,3,2,4,2
"AT",0,0,0,0,0,0,0,0,0,0,2,4,5,1,3,6,1,0,2,1,2,1,3
"AT",0,0,0,0,0,1,0,0,0,0,7,8,3,7,9,9,5,5,3,1,3,1,3
"AT",0,0,0,0,0,0,0,0,0,0,3,5,5,7,8,8,7,6,3,3,3,3,2
"AT",0,0,0,0,0,0,0,0,0,0,5,5,4,1,1,1,1,1,3,1,3,3,3
"AT",0,0,0,0,0,0,0,0,0,0,2,5,3,88,8,10,2,1,3,3,2,2,3
"AT",0,0,0,0,0,0,0,0,0,0,8,7,8,7,8,9,5,3,3,3,3,4,1
"AT",0,0,0,0,0,0,0,0,0,0,8,9,8,8,10,10,7,7,2,2,2,2,3
"AT",0,0,0,0,0,0,0,0,0,0,3,5,6,3,4,8,6,4,2,3,3,2,3
"AT",0,0,0,0,0,0,0,0,0,0,3,5,3,0,1,10,1,5,1,1,1,1,1
"AT",0,0,0,0,0,0,0,0,0,0,7,6,3,0,2,8,5,5,1,2,1,2,1
"AT",0,0,0,0,0,0,0,0,0,0,8,7,8,1,5,7,1,1,2,2,2,2,2
"AT",0,0,0,0,0,0,0,0,0,0,4,4,5,4,4,6,4,4,2,3,2,3,2
"AT",0,0,0,0,0,0,0,0,0,0,8,8,8,4,6,7,2,2,2,1,1,8,2
"AT",0,0,0,0,0,0,0,0,0,0,1,6,5,4,7,7,3,2,1,1,1,1,3
"AT",0,0,0,0,0,0,0,0,0,0,5,8,9,5,1,4,4,4,3,3,3,3,1
"AT",0,0,0,0,0,0,0,0,0,0,8,10,10,10,9,10,10,10,5,5,5,5,1
"AT",0,0,0,0,0,0,0,0,0,0,6,7,6,6,7,8,3,3,1,1,2,1,3
"AT",0,0,0,0,0,0,0,0,0,0,8,6,7,7,7,6,3,5,1,2,2,2,3
"AT",0,0,0,0,0,0,0,0,0,0,4,4,2,5,8,10,3,5,3,5,2,5,1
"AT",0,0,0,0,0,0,0,0,0,0,5,9,6,5,3,6,2,2,2,2,2,2,3
"AT",0,0,0,0,0,0,0,0,0,0,7,9,8,8,8,4,4,3,2,2,2,2,1
"AT",0,0,0,0,0,0,0,0,0,0,2,4,4,5,6,6,3,3,1,1,1,7,4
"AT",0,0,0,0,0,0,0,0,0,0,5,5,4,4,7,7,5,5,3,4,3,5,1
"AT",0,0,0,0,0,0,0,0,0,0,5,1,2,5,1,5,1,2,2,4,1,4,1
"AT",0,0,1,0,0,0,0,0,0,0,5,5,4,5,6,7,4,3,3,3,3,3,1
"AT",0,0,0,0,0,0,0,0,0,0,5,6,6,8,9,7,6,6,3,3,4,4,2
"AT",0,0,0,0,0,0,0,0,0,0,2,5,6,5,7,7,4,4,1,1,1,8,3
"AT",0,0,0,0,0,0,0,0,0,0,6,5,8,5,5,7,4,4,2,2,3,2,3
"AT",0,0,0,0,0,0,0,0,0,0,8,8,7,10,8,8,5,5,3,3,3,3,2
"AT",0,0,0,0,0,0,0,0,0,0,8,7,8,9,6,5,5,8,5,2,2,2,2
"AT",0,0,0,0,0,0,0,0,0,0,8,7,5,7,8,9,5,5,2,7,1,7,2
"AT",0,0,0,0,0,0,0,0,0,0,6,8,9,8,10,10,6,6,3,3,3,3,3
"AT",0,0,0,0,0,0,0,0,0,0,7,7,7,6,8,8,6,6,3,2,2,2,3
"AT",0,0,0,0,0,0,0,0,0,0,8,7,8,5,7,8,4,3,2,3,2,3,2
"AT",0,0,0,0,0,0,0,0,0,0,9,8,7,8,9,7,2,1,2,1,2,2,3
"AT",0,0,0,0,0,0,0,0,0,0,5,5,5,5,3,7,7,7,3,4,3,5,1
"AT",0,0,0,0,0,0,0,0,0,0,5,5,7,3,3,7,2,2,3,7,2,7,3
"AT",0,0,0,0,0,0,0,0,0,0,8,10,9,3,4,4,2,1,4,2,3,1,2
"AT",0,0,0,0,0,0,0,0,0,0,7,2,6,2,2,2,2,2,4,3,4,3,1
"AT",0,0,0,0,0,0,0,0,0,0,4,5,3,6,7,8,4,5,2,3,3,2,2
"AT",0,0,0,0,0,0,0,0,0,0,8,7,8,5,6,7,2,2,2,2,3,2,3
"AT",0,0,0,0,0,0,0,0,0,0,5,6,7,5,3,0,0,0,1,2,1,2,4
"AT",0,0,0,0,0,0,0,0,0,0,6,5,4,6,6,6,5,5,3,3,2,4,2
"AT",0,0,0,0,0,0,0,0,0,0,3,6,6,4,9,7,3,3,3,3,2,3,2
"AT",0,0,0,0,0,0,0,0,0,0,5,8,9,88,8,10,7,7,4,2,4,3,2
"AT",0,0,0,0,0,0,0,0,0,0,6,8,7,7,9,9,7,7,2,1,1,1,3
"AT",0,0,0,0,0,0,0,0,0,0,7,9,8,6,10,10,5,6,3,1,3,2,3
"AT",0,0,0,0,0,0,0,0,0,0,7,6,6,5,7,7,6,7,3,2,3,2,2
"AT",0,0,0,0,0,0,0,0,0,0,4,2,0,9,10,8,10,9,5,5,5,5,2
"AT",0,0,0,0,0,0,0,0,0,0,6,7,7,3,6,9,5,2,3,2,2,3,2
"AT",0,0,0,0,0,0,0,0,0,0,9,8,8,5,9,9,5,5,2,1,1,1,4
"AT",0,0,0,0,0,0,0,0,0,0,8,7,8,6,7,7,3,3,2,1,2,1,3
"AT",0,0,0,0,0,0,0,0,0,0,7,7,3,5,5,1,5,3,3,2,3,3,3
"AT",0,0,0,0,0,0,0,0,0,0,5,5,6,4,6,7,0,0,2,3,2,5,1
"AT",0,0,0,0,0,0,0,0,0,0,4,8,4,7,10,9,7,7,2,3,2,3,3
"AT",0,0,0,0,0,0,0,0,0,0,8,5,8,88,7,8,88,88,1,1,1,1,4
"AT",0,0,0,0,0,0,0,0,0,0,5,7,6,3,5,6,2,2,3,4,3,4,2
"AT",0,0,0,0,0,0,0,0,0,0,6,6,7,6,8,8,4,4,2,3,2,3,2
"AT",0,0,0,0,0,0,0,0,0,0,6,5,5,6,7,8,7,5,3,2,3,2,2
"AT",0,0,0,0,0,0,0,0,0,0,9,8,8,7,6,2,6,4,3,3,4,3,1
"AT",0,1,0,0,0,0,0,0,0,0,2,4,7,6,7,8,6,7,2,3,2,3,2
"AT",0,0,0,0,0,0,0,0,0,0,2,6,7,10,10,10,10,10,3,2,3,2,3
"AT",0,0,0,0,0,0,0,0,0,0,7,7,7,5,6,7,5,4,2,1,2,8,3
"AT",0,0,0,0,0,0,0,0,0,0,7,7,7,6,7,8,3,5,2,2,2,2,2
"AT",0,0,0,0,0,0,0,0,0,0,6,6,6,7,9,9,6,6,3,2,3,2,3
"AT",0,0,0,0,0,0,0,0,0,0,5,5,5,7,10,10,6,6,1,2,1,2,4
"AT",0,0,0,0,0,0,0,0,0,0,4,3,4,6,10,10,5,5,1,3,1,5,4
"AT",0,0,0,0,0,0,0,0,0,0,4,6,1,1,1,1,1,1,3,7,8,3,3
"AT",0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,7,2,2,2,2,2,1,3
"AT",0,0,0,0,0,0,0,0,0,0,5,5,5,5,7,7,0,0,1,1,1,1,4
"AT",0,0,0,0,0,0,0,0,0,0,6,3,5,7,9,9,5,5,2,3,3,2,2
"AT",0,0,0,0,0,0,0,0,0,0,5,5,5,5,3,7,8,3,3,4,3,3,2
"AT",0,0,0,0,0,0,0,0,0,0,4,4,5,5,9,10,4,4,1,1,1,1,2
"AT",0,0,0,0,0,0,0,0,0,0,6,7,6,4,6,8,7,5,1,2,2,2,1
"AT",0,0,0,0,0,0,0,0,0,0,5,8,9,10,9,8,6,8,3,3,3,3,1
"AT",0,0,0,0,0,0,0,0,0,0,8,8,8,7,8,9,5,5,3,2,3,2,3
"AT",0,0,0,0,0,0,0,0,0,0,8,9,9,8,10,8,8,8,2,4,2,2,3
"AT",0,0,0,0,0,0,0,0,0,0,8,7,7,2,5,6,2,1,1,2,2,2,3
"AT",0,0,0,0,0,0,0,0,0,0,8,8,5,3,5,5,0,0,2,3,2,3,2
"AT",0,0,0,0,0,0,0,0,0,0,6,4,4,2,6,6,0,1,1,1,1,1,4
"AT",0,0,0,0,0,0,0,0,0,0,7,6,6,6,7,8,3,5,2,2,2,2,2
"AT",0,0,0,0,0,0,0,0,0,0,5,4,6,2,6,6,2,2,3,4,2,4,3
"AT",0,0,0,0,0,0,0,0,0,0,6,4,7,5,5,5,4,4,2,2,2,8,3
"AT",0,0,0,0,0,0,0,0,0,0,4,8,1,5,5,6,4,3,1,2,1,8,3
"AT",0,0,0,0,0,0,0,0,0,0,7,8,8,5,7,8,5,4,2,2,2,2,3
"AT",0,0,0,0,0,0,0,0,0,0,2,2,2,7,5,7,1,1,1,1,1,1,3
"AT",0,0,0,0,0,0,0,0,0,0,8,6,7,8,10,10,6,8,2,3,4,2,3
"AT",0,0,0,0,0,0,0,0,0,0,7,8,8,5,7,6,4,5,4,3,4,2,2
"AT",0,0,0,0,0,0,0,0,0,0,9,5,4,3,6,6,3,3,3,1,2,2,2
"AT",0,0,0,0,0,0,0,0,0,0,9,9,8,9,10,10,9,9,4,4,4,3,2
"AT",0,1,0,0,0,0,0,0,0,0,3,6,6,2,6,7,0,2,1,3,1,3,2
"AT",0,0,0,0,0,0,0,0,0,0,6,6,7,6,7,9,6,5,2,1,2,2,2
"AT",0,0,0,0,0,0,0,0,0,0,8,8,5,4,6,6,3,3,2,3,2,3,2
"AT",0,0,0,0,0,0,0,0,0,0,8,7,8,0,10,10,0,5,2,2,3,4,4
"AT",0,0,0,0,0,0,0,0,0,0,6,6,7,6,6,8,4,5,2,2,2,3,1
"AT",0,0,0,0,0,0,0,0,0,0,9,8,7,6,8,4,7,7,4,3,2,5,2
